point,x,y,z
point_489,1588922.625,6803961.5,0.6
point_490,1588922.25,6803959.0,0.6
point_491,1588921.75,6803955.5,0.6
point_492,1588921.375,6803953.0,0.6
point_493,1588921.0,6803949.5,0.6
point_494,1588920.5,6803947.0,0.6
point_495,1588920.125,6803943.5,0.6
point_496,1588919.75,6803941.0,0.6
point_497,1588919.25,6803937.5,0.6
point_498,1588918.75,6803935.0,0.6
point_499,1588918.5,6803931.5,0.6
point_500,1588918.125,6803928.0,0.6
point_501,1588917.625,6803925.0,0.6
point_502,1588917.25,6803922.0,0.6
point_503,1588916.75,6803919.5,0.6
point_504,1588916.25,6803916.0,0.6
point_505,1588916.0,6803913.0,0.6
point_506,1588915.5,6803910.0,0.6
point_507,1588915.125,6803907.5,0.6
point_508,1588914.75,6803904.0,0.6
point_509,1588914.25,6803901.0,0.6
point_510,1588913.75,6803898.0,0.6
point_511,1588913.5,6803895.5,0.6
point_512,1588913.125,6803892.0,0.6
point_513,1588912.625,6803889.0,0.6
point_514,1588912.25,6803886.0,0.6
point_515,1588911.75,6803883.0,0.6
point_516,1588911.25,6803879.5,0.6
point_517,1588911.0,6803877.0,0.6
point_518,1588929.0,6803985.5,0.6
point_519,1588928.5,6803983.0,0.6
point_520,1588928.125,6803979.5,0.6
point_521,1588927.75,6803977.0,0.6
point_522,1588927.25,6803973.5,0.6
point_523,1588926.75,6803971.0,0.6
point_524,1588926.5,6803967.5,0.6
point_525,1588926.125,6803964.0,0.6
point_526,1588925.625,6803961.0,0.6
point_527,1588925.25,6803958.0,0.6
point_528,1588924.75,6803955.5,0.6
point_529,1588924.25,6803952.0,0.6
point_530,1588924.0,6803949.0,0.6
point_531,1588923.5,6803946.0,0.6
point_532,1588923.125,6803943.5,0.6
point_533,1588922.75,6803940.0,0.6
point_534,1588922.25,6803937.0,0.6
point_535,1588921.75,6803934.0,0.6
point_536,1588921.5,6803931.5,0.6
point_537,1588921.0,6803928.0,0.6
point_538,1588920.5,6803925.0,0.6
point_539,1588920.125,6803922.0,0.6
point_540,1588919.75,6803919.0,0.6
point_541,1588919.25,6803915.5,0.6
point_542,1588919.0,6803913.0,0.6
point_543,1588918.5,6803909.5,0.6
point_544,1588918.125,6803907.0,0.6
point_545,1588917.625,6803903.5,0.6
point_546,1588917.25,6803901.0,0.6
point_547,1588916.75,6803897.5,0.6
point_548,1588916.5,6803895.0,0.6
point_549,1588916.0,6803891.5,0.6
point_550,1588915.5,6803889.0,0.6
point_551,1588915.125,6803885.5,0.6
point_552,1588914.75,6803883.0,0.6
point_553,1588914.25,6803879.5,0.6
point_554,1588913.75,6803877.0,0.6
point_555,1588932.0,6803985.0,0.6
point_556,1588931.5,6803982.0,0.6
point_557,1588931.125,6803979.5,0.6
point_558,1588930.75,6803976.0,0.6
point_559,1588930.25,6803973.0,0.6
point_560,1588929.75,6803970.0,0.6
point_561,1588929.5,6803967.5,0.6
point_562,1588929.0,6803964.0,0.6
point_563,1588928.5,6803961.0,0.6
point_564,1588928.25,6803958.0,0.6
point_565,1588927.75,6803955.0,0.6
point_566,1588927.25,6803951.5,0.6
point_567,1588927.0,6803949.0,0.6
point_568,1588926.5,6803945.5,0.6
point_569,1588926.125,6803943.0,0.6
point_570,1588925.625,6803939.5,0.6
point_571,1588925.25,6803937.0,0.6
point_572,1588924.75,6803933.5,0.6
point_573,1588924.375,6803931.0,0.6
point_574,1588924.0,6803927.5,0.6
point_575,1588923.5,6803925.0,0.6
point_576,1588923.125,6803921.5,0.6
point_577,1588922.75,6803919.0,0.6
point_578,1588922.25,6803915.5,0.6
point_579,1588921.75,6803913.0,0.6
point_580,1588921.5,6803909.0,0.6
point_581,1588921.125,6803906.0,0.6
point_582,1588920.625,6803903.5,0.6
point_583,1588920.125,6803900.0,0.6
point_584,1588919.75,6803897.0,0.6
point_585,1588919.25,6803894.0,0.6
point_586,1588919.0,6803891.5,0.6
point_587,1588918.5,6803888.0,0.6
point_588,1588918.125,6803885.0,0.6
point_589,1588917.625,6803882.0,0.6
point_590,1588917.25,6803879.5,0.6
point_591,1588916.75,6803876.0,0.6
point_592,1588935.0,6803985.0,0.6
point_593,1588934.5,6803981.5,0.6
point_594,1588934.125,6803979.0,0.6
point_595,1588933.75,6803975.5,0.6
point_596,1588933.25,6803973.0,0.6
point_597,1588932.75,6803969.5,0.6
point_598,1588932.5,6803967.0,0.6
point_599,1588932.0,6803963.5,0.6
point_600,1588931.5,6803961.0,0.6
point_601,1588931.125,6803957.5,0.6
point_602,1588930.75,6803955.0,0.6
point_603,1588930.25,6803951.5,0.6
point_604,1588929.875,6803949.0,0.6
point_605,1588929.5,6803945.0,0.6
point_606,1588929.125,6803942.0,0.6
point_607,1588928.625,6803939.5,0.6
point_608,1588928.25,6803936.0,0.6
point_609,1588927.75,6803933.0,0.6
point_610,1588927.25,6803930.0,0.6
point_611,1588927.0,6803927.5,0.6
point_612,1588926.5,6803924.0,0.6
point_613,1588926.125,6803921.0,0.6
point_614,1588925.625,6803918.0,0.6
point_615,1588925.25,6803915.5,0.6
point_616,1588924.75,6803912.0,0.6
point_617,1588924.5,6803909.0,0.6
point_618,1588924.0,6803906.0,0.6
point_619,1588923.5,6803903.0,0.6
point_620,1588923.125,6803900.0,0.6
point_621,1588922.75,6803897.0,0.6
point_622,1588922.25,6803893.5,0.6
point_623,1588921.75,6803891.0,0.6
point_624,1588921.5,6803887.5,0.6
point_625,1588921.125,6803885.0,0.6
point_626,1588920.625,6803881.5,0.6
point_627,1588920.125,6803879.0,0.6
point_628,1588919.75,6803875.5,0.6
point_629,1588938.0,6803984.0,0.6
point_630,1588937.5,6803981.0,0.6
point_631,1588937.125,6803978.0,0.6
point_632,1588936.75,6803975.5,0.6
point_633,1588936.25,6803972.0,0.6
point_634,1588935.75,6803969.0,0.6
point_635,1588935.375,6803966.0,0.6
point_636,1588935.0,6803963.5,0.6
